"loan_id","tanggal_cair","cabang","agen","amount"
1,2020-01-06,"AA","AA-1",320000
2,2020-01-06,"AA","AA-1",440000
3,2020-01-06,"AA","AA-1",200000
4,2020-01-06,"AA","AA-2",430000
5,2020-01-06,"AA","AA-2",360000
6,2020-01-06,"AA","AA-2",220000
7,2020-01-06,"AB","AB-1",320000
8,2020-01-06,"AB","AB-1",470000
9,2020-01-06,"AB","AB-1",470000
10,2020-01-06,"AB","AB-2",350000
11,2020-01-06,"AB","AB-2",360000
12,2020-01-06,"AB","AB-2",250000
13,2020-01-06,"AC","AC-1",290000
14,2020-01-06,"AC","AC-1",330000
15,2020-01-06,"AC","AC-1",240000
16,2020-01-06,"AC","AC-2",300000
17,2020-01-06,"AC","AC-2",210000
18,2020-01-06,"AC","AC-2",190000
19,2020-01-06,"AD","AD-1",280000
20,2020-01-06,"AD","AD-1",290000
21,2020-01-06,"AD","AD-1",230000
22,2020-01-06,"AD","AD-2",130000
23,2020-01-06,"AD","AD-2",350000
24,2020-01-06,"AD","AD-2",210000
25,2020-01-07,"AA","AA-1",280000
26,2020-01-07,"AA","AA-1",350000
27,2020-01-07,"AA","AA-1",400000
28,2020-01-07,"AA","AA-2",200000
29,2020-01-07,"AA","AA-2",140000
30,2020-01-07,"AA","AA-2",310000
31,2020-01-07,"AA","AA-2",230000
32,2020-01-07,"AB","AB-1",360000
33,2020-01-07,"AB","AB-1",370000
34,2020-01-07,"AB","AB-2",130000
35,2020-01-07,"AB","AB-2",390000
36,2020-01-07,"AC","AC-1",430000
37,2020-01-07,"AC","AC-1",460000
38,2020-01-07,"AC","AC-1",90000
39,2020-01-07,"AD","AD-1",320000
40,2020-01-07,"AD","AD-1",280000
41,2020-01-07,"AD","AD-1",350000
42,2020-01-08,"AA","AA-1",250000
43,2020-01-08,"AA","AA-1",310000
44,2020-01-08,"AA","AA-1",340000
45,2020-01-08,"AA","AA-2",360000
46,2020-01-08,"AA","AA-2",210000
47,2020-01-08,"AA","AA-2",250000
48,2020-01-08,"AB","AB-1",370000
49,2020-01-08,"AB","AB-1",280000
50,2020-01-08,"AB","AB-1",180000
51,2020-01-08,"AB","AB-2",210000
